0,HeartTeleport,320,376,,,,,

0,CombatZoneResizeInstant,234,252,410,392,,,

0,HeartTeleport,320,376,,,,,

0,HeartMode,1,,,,,,

0,BoneVRepeat,128,257,95,0,220,6,133

0,BoneVRepeat,128,366,20,0,220,6,133

0,BoneVRepeat,503,257,95,2,220,6,133

0,BoneVRepeat,503,366,20,2,220,6,133


4.6,SansBody,HandUp,,

0,SansSlam,3,,

0.4,BoneVRepeat,128,257,20,0,210,3,133

0,BoneVRepeat,128,300,90,0,210,3,133

0,SansAnimation,Idle,,

0,BoneVRepeat,503,257,20,2,210,3,133

0,BoneVRepeat,503,300,90,2,210,3,133

1.6,GasterBlaster,1,350,200,450,260,180,0.6,1.5

1,HeartMode,0,,





0,SansAnimation,Idle,,

0,GasterBlaster,1,100,0,155,310,0,1.2,7

0,SansHead,Default,,



1.4,BoneVRepeat,128,364,25,0,135,10,75

0,BoneVRepeat,400,340,25,2,135,10,85

1.2,BoneVRepeat,128,230,25,0,166,12,70

0,BoneVRepeat,400,260,25,2,170,12,80
3.9,EndAttack
